title,artist,bpm,duration
Maniac,Michael Sembello,158,00:04:06
Stepin' Out,Joe Jackson,160,00:04:22
You Make My Dreams,Hall and Oates,164,00:03:10
Show Me How To Live,Audioslave,180,00:04:37
Good Thing,Fine Young Canibals,165,00:03:21
Oysters in my pocket,Royel Otis,169,00:02:42
Free Ride,Sideburn,180,00:03:23
Take On Me,a-ha,169,00:03:45
Drive,Incubus,181,00:03:52
My One Desire,Stray Cats,170,00:02:56
Billie Toppy,Men I Trust,170,00:03:15
Over My Shoulder,Mike + The Mechanics,185,00:03:37
Sometimes You Lose Before You Win,Bryan Adams,174,00:03:29
Touch Peel And Stand,Days Of The New,165,00:04:57
Mary Jane's Last Dance,Tom Patty,167,00:04:33
