Duration,Distance,Pace,Cadence
0,0.00097,1031,62
1,0.00211,879,71
1,0.00366,646,74
1,0.00366,582,77
1,0.00512,547,80
1,0.00512,533,81
1,0.0122,,81
1,0.01639,404,82
1,0.0175,253,83
1,0.0218,253,82
1,0.02436,261,82
1,0.02662,,82
1,0.03161,443,81
1,0.03413,452,81
1,0.03636,458,81
1,0.03925,331,81
1,0.04219,360,80
1,0.04512,360,80
1,0.04691,352,79
1,0.04978,352,79
1,0.05209,379,79
1,0.05471,388,79
1,0.05752,387,79
1,0.05978,388,79
1,0.06116,388,79
1,0.0628,388,79
1,0.06548,409,79
1,0.0681,420,79
1,0.07109,422,79
1,0.07314,419,79
1,0.07481,415,80
1,0.07725,415,81
1,0.07971,420,83
1,0.08262,422,83
1,0.08516,422,83
1,0.08749,409,83
1,0.08952,409,83
1,0.0913,409,82
1,0.09313,424,82
1,0.09612,441,83
1,0.09806,441,84
1,0.10039,434,84
1,0.10348,434,84
1,0.10552,434,83
1,0.10787,429,84
1,0.11063,429,84
1,0.11326,429,84
1,0.11593,425,84
1,0.11841,424,84
1,0.12158,420,84
1,0.12381,420,84
1,0.1262,417,84
1,0.12855,417,84
1,0.13052,417,84
1,0.13358,417,84
1,0.13571,417,84
1,0.13777,417,84
1,0.13954,417,84
1,0.1418,419,83
1,0.14419,422,82
1,0.14605,424,81
1,0.14879,424,81
1,0.15154,425,80
1,0.15392,425,80
1,0.15677,422,80
1,0.15909,422,80
1,0.16133,420,80
1,0.16406,420,79
1,0.16566,420,79
1,0.16846,422,79
1,0.17111,422,79
1,0.17318,422,80
1,0.1766,422,80
1,0.17853,420,81
1,0.18091,420,81
1,0.18304,420,82
1,0.18534,420,82
1,0.18755,420,83
1,0.18896,422,82
1,0.19223,422,82
1,0.19556,422,81
1,0.19871,422,81
1,0.20251,420,81
1,0.20531,419,81
1,0.20821,417,81
1,0.2112,417,81
1,0.21361,415,83
1,0.21581,414,83
1,0.21883,414,82
1,0.22098,414,82
1,0.22382,409,81
1,0.22621,406,80
1,0.22918,403,80
1,0.23131,403,80
1,0.23355,400,80
1,0.23569,400,80
1,0.23764,406,80
1,0.24008,412,80
1,0.2422,414,79
1,0.24416,415,79
1,0.24626,415,79
1,0.24841,422,79
1,0.25035,422,79
1,0.25264,425,80
1,0.25498,430,80
1,0.25682,430,81
1,0.25893,430,81
1,0.26157,437,82
1,0.26423,437,82
1,0.26686,429,82
1,0.26907,422,81
1,0.27157,422,81
1,0.27439,420,81
1,0.2773,420,81
1,0.27949,414,80
1,0.28178,412,80
1,0.28385,412,80
1,0.28583,414,80
1,0.28831,417,82
1,0.29076,419,83
1,0.29361,419,83
1,0.29632,419,83
1,0.299,415,82
1,0.30182,412,81
1,0.30456,411,80
1,0.3074,409,80
1,0.30981,406,80
1,0.31238,404,80
1,0.31457,404,80
1,0.31705,404,79
1,0.3194,404,79
1,0.32133,404,79
1,0.32385,406,79
1,0.32633,409,79
1,0.32875,409,79
1,0.33191,409,79
1,0.33432,409,79
1,0.33631,406,79
1,0.33855,406,79
1,0.34134,409,79
1,0.34351,409,79
1,0.34583,409,79
1,0.34815,409,79
1,0.35037,409,79
1,0.35272,411,79
1,0.35545,411,79
1,0.35782,411,80
1,0.35993,411,80
1,0.36189,411,80
1,0.36376,412,80
1,0.36636,412,80
1,0.36847,414,80
1,0.37036,414,81
1,0.37234,415,82
1,0.37482,417,82
1,0.3773,419,82
1,0.37969,419,82
1,0.38214,419,81
1,0.38409,419,81
1,0.38736,419,81
1,0.39117,419,80
1,0.39443,419,80
1,0.39685,414,79
1,0.39921,412,79
1,0.40107,411,79
1,0.40324,411,79
1,0.40593,412,79
1,0.40813,412,79
1,0.41072,412,79
1,0.41354,412,79
1,0.41634,412,79
1,0.4191,412,79
1,0.42157,411,79
1,0.42362,411,79
1,0.42575,411,78
1,0.42809,411,78
1,0.43001,411,78
1,0.43173,412,79
1,0.43365,412,79
1,0.43603,414,79
1,0.43815,415,79
1,0.44059,415,79
1,0.44311,417,79
1,0.44608,417,79
1,0.44908,417,79
1,0.45197,415,79
1,0.4544,414,79
1,0.45671,412,79
1,0.45915,412,79
1,0.46165,412,78
1,0.46382,412,78
1,0.46677,412,79
1,0.46947,412,79
1,0.47213,411,79
1,0.47482,411,80
1,0.47744,409,80
1,0.47985,409,80
1,0.48156,409,80
1,0.48331,409,80
1,0.48561,411,80
1,0.48833,412,82
1,0.49109,412,82
1,0.49394,412,82
1,0.49651,412,82
1,0.49848,411,81
1,0.5011,411,81
1,0.50384,411,81
1,0.50657,411,80
1,0.50912,411,80
1,0.51158,409,80
1,0.51338,409,80
1,0.51564,409,80
1,0.51819,411,80
1,0.52083,411,80
1,0.52363,411,80
1,0.52616,411,80
1,0.52811,409,81
1,0.53004,409,82
1,0.53239,411,82
1,0.53426,412,82
1,0.53699,412,81
1,0.53964,414,81
1,0.54224,414,81
1,0.54504,412,81
1,0.54773,412,80
1,0.55028,411,80
1,0.55305,411,80
1,0.55518,411,80
1,0.55773,409,81
1,0.56015,409,82
1,0.56228,409,82
1,0.56501,409,82
1,0.56722,409,82
1,0.5698,409,82
1,0.5712,409,82
1,0.57343,411,82
1,0.57625,412,83
1,0.58005,412,83
1,0.58273,412,83
1,0.58525,409,83
1,0.58768,407,83
1,0.59039,407,83
1,0.59348,407,82
1,0.59669,407,82
1,0.59956,406,82
1,0.60187,404,82
1,0.60365,403,82
1,0.60622,403,82
1,0.60853,403,82
1,0.61115,404,82
1,0.61442,403,82
1,0.61712,403,82
1,0.62031,401,82
1,0.6231,401,82
1,0.62574,400,82
1,0.6285,398,82
1,0.63051,398,82
1,0.63322,398,82
1,0.63576,398,82
1,0.638,397,82
1,0.64059,397,82
1,0.64314,397,81
1,0.64587,397,80
1,0.64884,397,80
1,0.65192,397,80
1,0.65472,395,80
1,0.65776,394,80
1,0.66051,394,80
1,0.66307,393,80
1,0.66608,393,80
1,0.66921,391,80
1,0.67172,391,80
1,0.67444,390,80
1,0.67718,388,80
1,0.67924,388,80
1,0.68199,388,80
1,0.68517,388,80
1,0.68767,387,80
1,0.69049,387,80
1,0.69312,386,79
1,0.69539,386,80
1,0.69804,386,80
1,0.7007,386,81
1,0.70295,386,80
1,0.70546,386,80
1,0.70805,386,80
1,0.7105,386,80
1,0.71331,386,80
1,0.71571,386,80
1,0.71807,386,80
1,0.72047,386,80
1,0.7231,386,80
1,0.72556,386,80
1,0.72811,386,80
1,0.73037,386,80
1,0.73275,386,80
1,0.73558,387,80
1,0.73828,387,80
1,0.74035,387,80
1,0.74295,387,80
1,0.74591,387,80
1,0.74845,387,80
1,0.75138,386,80
1,0.75404,386,80
1,0.75657,386,80
1,0.75925,384,80
1,0.76171,384,80
1,0.7641,384,80
1,0.76672,384,80
1,0.76929,384,80
1,0.77158,384,80
1,0.77429,384,80
1,0.77644,386,80
1,0.77899,386,80
1,0.78136,386,80
1,0.78394,386,80
1,0.78619,386,80
1,0.78908,387,80
1,0.79122,387,80
1,0.79398,387,80
1,0.79662,387,80
1,0.79916,387,80
1,0.80178,387,80
1,0.80464,387,80
1,0.80677,387,80
1,0.80973,387,80
1,0.81268,387,80
1,0.81531,387,80
1,0.81819,386,80
1,0.82045,386,80
1,0.82268,386,80
1,0.82464,386,80
1,0.82683,386,80
1,0.82936,387,80
1,0.83184,388,80
1,0.83473,388,80
1,0.83754,388,80
1,0.84001,388,80
1,0.84262,388,80
1,0.84504,388,80
1,0.84788,388,80
1,0.85048,388,81
1,0.85273,388,81
1,0.85519,388,81
1,0.85798,388,82
1,0.86076,388,83
1,0.86381,388,84
1,0.86665,387,84
1,0.86952,386,83
1,0.87228,384,83
1,0.87492,383,82
1,0.87748,383,82
1,0.8801,381,82
1,0.88256,381,82
1,0.88572,381,82
1,0.88805,381,81
1,0.89068,380,81
1,0.89346,380,81
1,0.89556,380,81
1,0.89823,380,81
1,0.90075,381,82
1,0.9033,381,83
1,0.90615,381,83
1,0.90868,381,83
1,0.91137,381,83
1,0.91463,381,82
1,0.91691,381,82
1,0.91957,380,82
1,0.92219,380,82
1,0.92437,380,82
1,0.92687,380,81
1,0.92947,380,81
1,0.93172,381,80
1,0.93402,381,80
1,0.93695,381,80
1,0.93925,381,80
1,0.94184,383,80
1,0.94503,383,80
1,0.947,383,80
1,0.94966,383,80
1,0.95244,383,80
1,0.95456,383,80
1,0.95715,383,80
1,0.95989,384,80
1,0.96165,384,80
1,0.9643,384,80
1,0.96692,386,80
1,0.96918,386,80
1,0.97183,386,80
1,0.97461,387,80
1,0.97708,387,80
1,0.98034,387,80
1,0.98311,387,80
1,0.98536,386,80
1,0.98784,386,80
1,0.99024,386,80
1,0.99261,386,80
1,0.99519,386,80
1,0.99741,387,80
1,0.99975,387,80
1,1.00287,387,81
1,1.00504,387,81
1,1.00741,388,82
1,1.00989,388,83
1,1.01253,388,83
1,1.01592,388,83
1,1.01839,388,83
1,1.02109,387,83
1,1.02455,387,83
1,1.02677,387,83
1,1.02949,386,84
1,1.0319,386,84
1,1.03452,386,84
1,1.03739,386,84
1,1.03984,386,83
1,1.04297,386,83
1,1.04581,384,83
1,1.04816,384,84
1,1.05098,384,84
1,1.05336,383,84
1,1.0556,383,84
1,1.05754,383,83
1,1.0594,384,83
1,1.06196,386,83
1,1.06496,387,82
1,1.06759,387,82
1,1.07115,386,83
1,1.07351,386,82
1,1.07661,386,82
1,1.07991,384,83
1,1.08252,384,84
1,1.08582,383,84
1,1.08853,383,83
1,1.09152,381,83
1,1.09445,381,82
1,1.09713,380,82
1,1.09973,379,82
1,1.1023,379,81
1,1.1044,379,81
1,1.10699,379,81
1,1.10955,379,81
1,1.11171,379,81
1,1.11471,379,81
1,1.11762,379,81
1,1.12032,379,81
1,1.12329,379,81
1,1.12589,379,81
1,1.12838,377,81
1,1.13124,377,82
1,1.13393,377,83
1,1.13653,377,83
1,1.13922,377,83
1,1.14215,377,83
1,1.14494,377,82
1,1.14754,376,82
1,1.15026,375,82
1,1.1527,375,82
1,1.15517,375,81
1,1.15785,375,81
1,1.16075,375,81
1,1.16332,375,81
1,1.1662,375,81
1,1.16946,375,81
1,1.17203,375,80
1,1.17452,372,80
1,1.17745,372,80
1,1.17982,372,80
1,1.18254,372,80
1,1.18576,372,80
1,1.18801,372,80
1,1.19071,372,81
1,1.19345,372,82
1,1.19639,372,84
1,1.19906,372,84
1,1.20139,371,84
1,1.2044,371,83
1,1.20699,371,83
1,1.20922,370,83
1,1.21227,370,82
1,1.21486,370,83
1,1.2179,370,84
1,1.2205,370,84
1,1.22336,368,84
1,1.22665,368,84
1,1.22939,368,84
